L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,P,ΔP
12,24,7.05,-0.85,-0.6,0.87960456299477,0.005009456935391,0.661375628458492,0.008814628888818,0.946493251465989,0.004006418921117,0.776516064749908,0.006528178437024,0.126871457001264,0.002837062368123,0.088417923699654,0.003465754084405,0.191558642902874,0.002501494127364,0.157849137104001,0.003130785335796,0.564470694594595,0.000209284696389
12,24,7.05,-0.85,-0.65,0.811123439459523,0.005774474189801,0.62681520197537,0.010404981978651,0.881060635262322,0.004582852257212,0.746563997257567,0.00735991807019,0.123672352918177,0.003615606961254,0.085760535438252,0.003230380461378,0.192857095217434,0.002824395152454,0.158307196262031,0.003211169257747,0.566561578378378,0.000193739621877
12,24,7.05,-0.85,-0.7,0.70964246315848,0.006114504623884,0.584958197789379,0.009047377421509,0.797642291401961,0.004352779662657,0.713304363565418,0.007214676800885,0.111710948642178,0.003249147534964,0.088806023919237,0.003551780738804,0.181633995638484,0.002568285843044,0.160633347482671,0.003750043511993,0.568590716216216,0.000179458925388
12,24,7.05,-0.85,-0.75,0.635416543473013,0.007341409706891,0.568404985273574,0.010108568427139,0.723198908337358,0.006089521895988,0.669942316316762,0.007834767653396,0.107943862749458,0.00399376150113,0.090236379926086,0.002895626244996,0.177827606384069,0.004205622053685,0.158660572058977,0.003256271250074,0.571415448648648,0.000169586471483
12,24,7.05,-0.85,-0.8,0.502317249656334,0.01271317411218,0.478054940448731,0.012361635953034,0.632693015002485,0.00787275974243,0.623680814876321,0.006859431536196,0.078912874436371,0.004209934995606,0.079710524855832,0.002847246428242,0.154419774461623,0.003960765150156,0.159430689693784,0.002935808238515,0.574080897297297,0.000168841868063
12,24,7.05,-0.85,-0.83,0.441246010904887,0.013767848467363,0.43621680005852,0.017604380526054,0.600521473524522,0.009611426309436,0.583505160276704,0.006931657292125,0.074850490577474,0.005048547583228,0.069765292783245,0.005041072555845,0.15922727063526,0.004504287001521,0.151461321951993,0.003413570683481,0.576263075675676,0.000215600168773
10,20,7.2,-0.794,-0.6,0.725215483953792,0.01091648907293,0.587687475326568,0.017349930094909,0.814212924407941,0.006866796256341,0.729288509401313,0.01006111187227,0.101402243680228,0.002603953808362,0.075287420508604,0.002960408662047,0.171021332528426,0.002413727323929,0.158456345434258,0.002308441485496,0.5845502,0.000257031462535
10,20,7.2,-0.794,-0.65,0.646011762647095,0.012245972973998,0.588040908570555,0.01817368527481,0.757170869365827,0.009527335117204,0.709008497433114,0.009688058571067,0.096752793439256,0.003564233063922,0.08337871642981,0.003746440367329,0.172954141919495,0.003002639924835,0.164136575941788,0.003562859105776,0.585591402702703,0.000202217819816
10,20,7.2,-0.794,-0.7,0.58362400718293,0.04699210544726,0.564928071683097,0.042413505131648,0.725596243037875,0.01583523477408,0.709270219309595,0.020267695711914,0.085868169505507,0.010966244825642,0.074899505720101,0.008165728349363,0.174303161881678,0.004931599047674,0.16782813201533,0.007675426217195,0.587473294594595,0.00023895337854
10,20,7.2,-0.794,-0.75,0.559496101160046,0.030977512268229,0.536598905901649,0.016563954956177,0.718911545803162,0.011839619465572,0.732729486231849,0.008552705304826,0.062024854044286,0.004684786756952,0.055596555386694,0.003139230574531,0.170934649072955,0.003046823338014,0.173269223833589,0.002738065514791,0.589566997297297,0.000242986790536
10,20,7.2,-0.794,-0.77,0.481480454775684,0.072329817524381,0.482164945630316,0.054501632711515,0.691234343388577,0.030238533764345,0.69660804595005,0.01724380580512,0.051062930035862,0.008802914276764,0.044078843715024,0.005056064628795,0.16018207230883,0.006173444169552,0.163791216591724,0.003735522901165,0.590155824324324,0.000185663774737
10,20,7.2,-0.794,-0.79,1.00447024157308,0.693417208381559,0.599007813905381,0.068630808852041,0.785012955127699,0.008616255989913,0.771822277462564,0.010084241973848,0.029401041813738,0.039472625473745,0.033701418355851,0.005963046028474,0.178442265841136,0.003451910282753,0.176039472320223,0.003196413649605,0.59107705945946,0.00022672365834
12,24,7.2,-0.794,-0.6,0.703501355271437,0.007437519521076,0.523784817312973,0.010372017530047,0.774535083989587,0.004851728323385,0.636914519873394,0.008061423043091,0.096756958002579,0.003728521845029,0.077982501124377,0.002975795233415,0.15649925409102,0.002988983379225,0.131611035408736,0.002899688489133,0.584084935135135,0.000179503526964
12,24,7.2,-0.794,-0.65,0.615349756043621,0.007059685999286,0.476523636780557,0.012954566744241,0.704368336586017,0.005049758616985,0.605410569846677,0.008348948942677,0.088127348434666,0.003319670770011,0.069760703561242,0.003277797452135,0.147496199535037,0.003118353839281,0.127064641180872,0.0031931174314,0.585515845945946,0.000157881176629
12,24,7.2,-0.794,-0.7,0.545438429627544,0.006226804997451,0.45732794295608,0.014482220984084,0.638390627959455,0.005596802360444,0.59667165427173,0.009424553380063,0.087132104438255,0.002835186723408,0.067403974448804,0.00366361550776,0.150379698399387,0.003799713873583,0.138028439813162,0.003078254219939,0.587045778378378,0.000158751460246
12,24,7.2,-0.794,-0.75,0.441922094853324,0.017105334971473,0.450001464647124,0.012610696367053,0.569000805557581,0.009510075984781,0.55515834713091,0.00757186872237,0.070402615928603,0.003419447851856,0.075899867012362,0.004050768310085,0.138925050298221,0.003118963174559,0.136721828376807,0.002970252866116,0.588574054054054,0.000140500910366
