L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,mAWI,ΔmAWI,P,ΔP
14,24,6.9,-0.92,-0.88,0.548521996884332,0.009753322053853,0.539894060217178,0.006822282253464,0.689520257563734,0.00570007740112,0.686726509541932,0.005516280107819,0.10144430484298,0.004036726458835,0.098325558545728,0.002978881045008,0.195081926552602,0.003320127557387,0.193583138814291,0.003446338631478,0.073008647718087,0.005360990025217,0.557160715909091,0.000265046704143
14,24,6.9,-0.92,-0.9,0.480486890267947,0.008680703805942,0.486141370541371,0.005819390883799,0.636630766003496,0.005959820774453,0.646277377124357,0.004228352001639,0.090151517346161,0.002947137916315,0.094419878324244,0.002172839066868,0.184027331506416,0.003191957055137,0.188526543137555,0.001980010362404,0.057072053711909,0.003398673511716,0.559360064935065,0.00014800809392
14,24,6.9,-0.92,-0.91,0.448625226623795,0.009647213474152,0.440755055527609,0.006455495764169,0.604873930020952,0.006821023766917,0.598176328105432,0.004839243515842,0.092400285865032,0.003793856133763,0.087775511272582,0.002580758256778,0.183056234070056,0.003082174380526,0.176402193162509,0.002310428436352,0.047546488483643,0.003798483098731,0.56069275974026,0.00011368933315
14,24,6.9,-0.92,-0.92,0.375198646187072,0.009840137289257,0.380018570255955,0.008187652839524,0.548439855476922,0.008669623288651,0.554851325586103,0.00636340866235,0.083205114992746,0.00399817826236,0.082313480985493,0.002797142353961,0.167232442478789,0.004478927901717,0.168235976436322,0.003015512089048,0.037820483752599,0.004544051078121,0.562088508,0.000159573219953
14,24,7.05,-0.85,-0.5,0.999403870286203,0.003646392700684,0.689545793082404,0.004520055244652,1.0590719740455,0.002822848860589,0.805135190207911,0.003847877385027,0.134869507909608,0.002313086993223,0.086187948279148,0.001489822184705,0.201144431389961,0.002169298943305,0.155251681913976,0.001638292424339,0.261389912753761,0.008243307390742,0.561419677272727,0.000122526662401
14,24,7.05,-0.85,-0.55,0.942543381381475,0.00339464493152,0.668875965214743,0.00617958415532,1.00053726733567,0.002901714083494,0.789096501553328,0.00396348222322,0.12979583273472,0.00242729412309,0.08617642719057,0.002257150335393,0.193791362240711,0.00233977011218,0.156076600091976,0.002077641302818,0.232670565767188,0.007317240654569,0.562835020454545,0.000130956920969
14,24,7.05,-0.85,-0.6,0.875016465427687,0.003850311181919,0.661891001418133,0.006993071236147,0.943365479338436,0.003381367944439,0.77167940617161,0.004606839095651,0.128048380852622,0.002406153981001,0.090601404056571,0.00237269919126,0.195101323730025,0.002551230100018,0.157767537027914,0.002397615940585,0.204481626668274,0.00692247798539,0.564771204545455,0.000131664896408
14,24,7.05,-0.85,-0.65,0.791347944416743,0.004929346746713,0.615102898247421,0.005005715994524,0.872020032253925,0.003621660166786,0.736066931238653,0.004387094124769,0.118359991862151,0.002515797807925,0.08873720280917,0.001941075189806,0.188306663670916,0.002706630525666,0.159275268237124,0.002729568637215,0.173398970458344,0.006533973549659,0.566567277272727,0.000154093757316
14,24,7.05,-0.85,-0.7,0.73023001107027,0.004649606622714,0.601778212727067,0.00541599260627,0.80488342511948,0.003670773426923,0.714866954744605,0.00450344927687,0.116195539019052,0.002567999400599,0.088244926975318,0.001896977116592,0.184708472546879,0.002413820848506,0.15982793826118,0.00205404334653,0.138010887338858,0.006235247907994,0.568539288636364,0.000127940949746
14,24,7.05,-0.85,-0.75,0.620311314511655,0.005039894234884,0.554275885204999,0.006618006240461,0.716923905704229,0.004256902193225,0.675595883572243,0.004356401679685,0.101418733754899,0.00228377521869,0.088338354013792,0.001963378495025,0.172459611409928,0.002230918923566,0.163158121495592,0.002396283722939,0.106495392427647,0.004995570122043,0.571243761363637,0.000193417544446
